LocNombre,Walk_Base
BOSA,0.44126
BOSA,0.45828
BOSA,0.49135
BOSA,0.48756
BOSA,0.54724
BOSA,0.33706
BOSA,0.40299
BOSA,0.39607
BOSA,0.45069
BOSA,0.35069
BOSA,0.33776
BOSA,0.39181
BOSA,0.33477
BOSA,0.38804
BOSA,0.32449
BOSA,0.40132
BOSA,0.65199
BOSA,0.53208
BOSA,0.40864
BOSA,0.41492
BOSA,0.34683
BOSA,0.47503
BOSA,0.57353
BOSA,0.4905
BOSA,0.39038
BOSA,0.46084
BOSA,0.28342
BOSA,0.40626
BOSA,0.34487
BOSA,0.33855
BOSA,0.58116
BOSA,0.37325
BOSA,0.43572
BOSA,0.39093
BOSA,0.33404
BOSA,0.41231
BOSA,0.55601
BOSA,0.60912
BOSA,0.45679
BOSA,0.41605
BOSA,0.29948
BOSA,0.29948
BOSA,0.3613
BOSA,0.38477
BOSA,0.38336
BOSA,0.33591
BOSA,0.34074
BOSA,0.39882
BOSA,0.46475
BOSA,0.41596
BOSA,0.55107
BOSA,0.55904
BOSA,0.49297
BOSA,0.40126
BOSA,0.35253
BOSA,0.39175
BOSA,0.4665
BOSA,0.54854
BOSA,0.43482
BOSA,0.34066
BOSA,0.52834
BOSA,0.55069
BOSA,0.56933
BOSA,0.49218
BOSA,0.49168
BOSA,0.66556
BOSA,0.5593
BOSA,0.39668
BOSA,0.34856
BOSA,0.38473
BOSA,0.43568
BOSA,0.47318
BOSA,0.41136
BOSA,0.47124
BOSA,0.35077
BOSA,0.32748
BOSA,0.389
BOSA,0.38602
BOSA,0.47872
BOSA,0.39957
BOSA,0.40815
BOSA,0.34168
BOSA,0.38521
BOSA,0.33384
BOSA,0.38649
BOSA,0.39258
BOSA,0.45693
BOSA,0.39258
BOSA,0.50264
BOSA,0.3963
BOSA,0.44108
BOSA,0.43435
BOSA,0.44108
BOSA,0.49469
BOSA,0.37469
BOSA,0.33622
BOSA,0.40268
BOSA,0.593
BOSA,0.42336
BOSA,0.50192
BOSA,0.43569
BOSA,0.38886
BOSA,0.51658
BOSA,0.45042
BOSA,0.44261
BOSA,0.51642
BOSA,0.51642
BOSA,0.46249
BOSA,0.51642
BOSA,0.51642
BOSA,0.51143
BOSA,0.51187
BOSA,0.51187
BOSA,0.44548
BOSA,0.39186
BOSA,0.39186
BOSA,0.46904
BOSA,0.41542
BOSA,0.34248
BOSA,0.34248
BOSA,0.45238
BOSA,0.42376
BOSA,0.43694
BOSA,0.35255
BOSA,0.35916
BOSA,0.35916
BOSA,0.49235
BOSA,0.49494
BOSA,0.37495
BOSA,0.39405
BOSA,0.44246
BOSA,0.56517
BOSA,0.61181
BOSA,0.51666
BOSA,0.51621
BOSA,0.46304
BOSA,0.46304
BOSA,0.46304
BOSA,0.51666
BOSA,0.54538
BOSA,0.46219
BOSA,0.4472
BOSA,0.4472
BOSA,0.4472
BOSA,0.42537
BOSA,0.44594
BOSA,0.37922
BOSA,0.43269
BOSA,0.43738
BOSA,0.38263
BOSA,0.34743
BOSA,0.34083
BOSA,0.50312
BOSA,0.55016
BOSA,0.44039
BOSA,0.37004
BOSA,0.39835
BOSA,0.39832
BOSA,0.51076
BOSA,0.55543
BOSA,0.44057
BOSA,0.32871
BOSA,0.4024
BOSA,0.34523
BOSA,0.36323
BOSA,0.35732
BOSA,0.38738
BOSA,0.39647
BOSA,0.51315
BOSA,0.63009
BOSA,0.58446
BOSA,0.32994
BOSA,0.33687
BOSA,0.33969
BOSA,0.45671
BOSA,0.40595
BOSA,0.41464
BOSA,0.30055
BOSA,0.37992
BOSA,0.32566
BOSA,0.45783
BOSA,0.52214
BOSA,0.41354
BOSA,0.37731
BOSA,0.39018
BOSA,0.39006
BOSA,0.35482
BOSA,0.41451
BOSA,0.53739
BOSA,0.3812
BOSA,0.45635
BOSA,0.41829
BOSA,0.52254
BOSA,0.5252
BOSA,0.43147
BOSA,0.36508
BOSA,0.44283
BOSA,0.44095
BOSA,0.413
BOSA,0.4728
BOSA,0.41946
BOSA,0.53868
BOSA,0.41631
BOSA,0.38435
BOSA,0.38435
BOSA,0.38435
BOSA,0.3855
BOSA,0.53093
BOSA,0.4454
BOSA,0.4454
BOSA,0.60968
BOSA,0.51805
BOSA,0.41944
BOSA,0.46806
BOSA,0.41413
BOSA,0.53307
BOSA,0.3679
BOSA,0.31644
BOSA,0.46087
BOSA,0.47214
BOSA,0.43187
BOSA,0.36374
BOSA,0.38895
BOSA,0.45322
BOSA,0.40491
BOSA,0.37292
BOSA,0.45764
BOSA,0.42472
BOSA,0.4896
BOSA,0.4896
BOSA,0.35078
BOSA,0.39474
BOSA,0.38939
BOSA,0.39377
BOSA,0.39662
BOSA,0.32897
BOSA,0.42382
BOSA,0.47744
BOSA,0.43445
BOSA,0.41346
BOSA,0.42063
BOSA,0.45699
BOSA,0.46164
BOSA,0.39424
BOSA,0.39386
BOSA,0.39194
BOSA,0.30139
BOSA,0.40908
BOSA,0.34033
BOSA,0.36769
BOSA,0.54774
BOSA,0.49453
BOSA,0.49453
BOSA,0.49453
BOSA,0.49453
BOSA,0.37453
BOSA,0.47008
BOSA,0.47008
BOSA,0.47008
BOSA,0.47008
BOSA,0.47008
BOSA,0.45477
BOSA,0.47176
BOSA,0.36348
BOSA,0.41869
BOSA,0.47659
BOSA,0.45889
BOSA,0.47949
BOSA,0.53342
BOSA,0.64545
BOSA,0.53834
BOSA,0.53948
BOSA,0.40545
BOSA,0.46074
BOSA,0.40781
BOSA,0.47475
BOSA,0.40752
BOSA,0.48747
BOSA,0.45052
BOSA,0.36519
BOSA,0.41928
BOSA,0.47617
BOSA,0.47617
BOSA,0.47617
BOSA,0.39145
BOSA,0.43856
BOSA,0.43341
BOSA,0.51349
BOSA,0.54457
BOSA,0.54457
BOSA,0.54457
BOSA,0.39435
BOSA,0.29836
BOSA,0.32784
BOSA,0.33073
BOSA,0.38742
BOSA,0.39735
BOSA,0.33067
BOSA,0.47281
BOSA,0.41708
BOSA,0.47091
BOSA,0.47102
BOSA,0.3628
BOSA,0.50407
BOSA,0.40228
BOSA,0.38595
BOSA,0.3459
BOSA,0.47649
BOSA,0.47649
BOSA,0.54635
BOSA,0.60784
BOSA,0.49241
BOSA,0.49655
BOSA,0.45781
BOSA,0.63227
BOSA,0.54781
BOSA,0.54696
BOSA,0.33202
BOSA,0.33484
BOSA,0.56669
BOSA,0.48117
BOSA,0.48073
BOSA,0.48073
BOSA,0.48147
BOSA,0.42842
BOSA,0.54461
